packet_board_id,review_order,board_words,solution_groups,unique_clear_grouping,fair_not_forced,labels_feel_natural,aha_satisfaction,publishable,notes
blind_board_011,11,EQUITY | RITZ | RAISE | OVERLOOK | DISCOUNT | PLAZA | CLUB | PROMOTION | IGNORE | BONUS | GOLDFISH | PUG | ELOISE | FORGET | TURTLE | ANIMAL,"FEATURED IN “ELOISE”: ELOISE, PLAZA, TURTLE, PUG || KINDS OF CRACKERS: ANIMAL, RITZ, GOLDFISH, CLUB || DISREGARD: OVERLOOK, FORGET, IGNORE, DISCOUNT || GOOD THINGS TO GET AT WORK: BONUS, EQUITY, PROMOTION, RAISE",,,,,,
blind_board_012,12,PINKY | HEEL | MERCURY | CLYDE | EARTH | RAKE | CAKE | BLINKY | KEEL | LAKE | MARS | BAKE | VENUS | PEEL | INKY | REEL,"Ends with -AKE: BAKE, CAKE, RAKE, LAKE || Rhymes with -EEL: KEEL, PEEL, HEEL, REEL || Planets: MARS, EARTH, VENUS, MERCURY || Pac-Man ghosts: PINKY, INKY, CLYDE, BLINKY",,,,,,
blind_board_013,13,CIRCLE | SOS | STAY | SIGNAL | TRIANGLE | ROOSTER | BUNK | UMBRELLA | SLEEP | WORM | DEW | ALARM | CRASH | STAR | FLARE | SUNRISE,"SPEND THE NIGHT (AT): STAY, CRASH, BUNK, SLEEP || ASSOCIATED WITH EARLY MORNING: SUNRISE, ROOSTER, WORM, DEW || ALERT: ALARM, FLARE, SIGNAL, SOS || COOKIE CUTTER SHAPES IN “SQUID GAME”: UMBRELLA, TRIANGLE, STAR, CIRCLE",,,,,,
blind_board_014,14,DASH | MASH | BLINKY | KEEL | REEL | CASH | PEEL | BASH | HEEL | VENUS | MARS | MERCURY | CLYDE | INKY | EARTH | PINKY,"Rhymes with -EEL: KEEL, PEEL, HEEL, REEL || Planets: MARS, EARTH, VENUS, MERCURY || Ends with -ASH: DASH, CASH, MASH, BASH || Pac-Man ghosts: PINKY, INKY, CLYDE, BLINKY",,,,,,
blind_board_015,15,BOCK | TRADE | HEDGE | STOUT | CAPITOL | SHORT | FIELD | ONION | TACKLE | BITTER | TEAPOT | MANAGE | CHROME | HOLD | HANDLE | SOUR,"INVESTMENT VERBS: TRADE, SHORT, HOLD, HEDGE || ___ DOME: CHROME, ONION, TEAPOT, CAPITOL || DEAL WITH: HANDLE, FIELD, TACKLE, MANAGE || STYLES OF BEER: BOCK, STOUT, SOUR, BITTER",,,,,,
blind_board_016,16,PEEL | OPAL | TOPAZ | BLINKY | SNUG | INKY | SNOW | SNIP | JADE | HEEL | REEL | KEEL | PINKY | CLYDE | SNAP | RUBY,"Pac-Man ghosts: PINKY, INKY, CLYDE, BLINKY || Rhymes with -EEL: KEEL, PEEL, HEEL, REEL || Starts with SN: SNAP, SNUG, SNIP, SNOW || Gemstones: JADE, OPAL, RUBY, TOPAZ",,,,,,
blind_board_017,17,INKY | RUBY | KEEL | OPAL | TOPAZ | DASH | CLYDE | BASH | HEEL | BLINKY | PEEL | MASH | PINKY | JADE | CASH | REEL,"Rhymes with -EEL: KEEL, PEEL, HEEL, REEL || Gemstones: JADE, OPAL, RUBY, TOPAZ || Ends with -ASH: DASH, CASH, MASH, BASH || Pac-Man ghosts: PINKY, INKY, CLYDE, BLINKY",,,,,,
blind_board_018,18,CASH | MARS | HEEL | KEEL | OPAL | VENUS | MASH | PEEL | TOPAZ | JADE | REEL | RUBY | EARTH | DASH | BASH | MERCURY,"Gemstones: JADE, OPAL, RUBY, TOPAZ || Planets: MERCURY, EARTH, MARS, VENUS || Ends with -ASH: DASH, CASH, MASH, BASH || Rhymes with -EEL: KEEL, PEEL, HEEL, REEL",,,,,,
blind_board_019,19,PEEL | HEEL | BLINKY | INKY | TOPAZ | REEL | PINKY | BAKE | OPAL | RUBY | CAKE | RAKE | CLYDE | KEEL | JADE | LAKE,"Ends with -AKE: BAKE, CAKE, RAKE, LAKE || Gemstones: JADE, OPAL, RUBY, TOPAZ || Rhymes with -EEL: KEEL, PEEL, HEEL, REEL || Pac-Man ghosts: PINKY, INKY, CLYDE, BLINKY",,,,,,
blind_board_020,20,SNUG | SNIP | SNAP | LAKE | MARS | JADE | TOPAZ | EARTH | OPAL | RUBY | RAKE | VENUS | SNOW | BAKE | CAKE | MERCURY,"Gemstones: JADE, OPAL, RUBY, TOPAZ || Rhymes with -AKE: RAKE, LAKE, BAKE, CAKE || Starts with SN: SNAP, SNUG, SNIP, SNOW || Planets: MERCURY, EARTH, MARS, VENUS",,,,,,
blind_board_021,21,BROOD | LITTER | CABBAGE | SOUL | WORK | ROUGH | REFLECT | PONDER | CRAFT | POINT | NICOTINE | INTERRUPT | STARE | MUSE | TRADE | LINE,"CONTEMPLATE: REFLECT, PONDER, MUSE, BROOD || RUDE THINGS TO DO: STARE, LITTER, INTERRUPT, POINT || VOCATION: WORK, CRAFT, TRADE, LINE || ___ PATCH: CABBAGE, SOUL, ROUGH, NICOTINE",,,,,,
blind_board_022,22,MULTI | SHOEBOX | BRICK | MUCHO | PICKLE | LIME | MOLTO | RELISH | ZEST | BEAUCOUP | MORTAR | GUSTO | MICROWAVE | JENNY | PASSION | FISH TANK,"RECTANGULAR PRISMS: BRICK, SHOEBOX, MICROWAVE, FISH TANK || RHYME WITH U.S. COINS: LIME, JENNY, MORTAR, PICKLE || “MANY” IN DIFFERENT LANGUAGES: MUCHO, MULTI, BEAUCOUP, MOLTO || ENTHUSIASM: PASSION, RELISH, GUSTO, ZEST",,,,,,
blind_board_023,23,SNUG | BLINKY | CASH | MARS | MERCURY | SNOW | BASH | CLYDE | SNIP | PINKY | INKY | MASH | VENUS | DASH | SNAP | EARTH,"Starts with SN: SNAP, SNUG, SNIP, SNOW || Rhymes with -ASH: BASH, CASH, DASH, MASH || Planets: MARS, EARTH, VENUS, MERCURY || Pac-Man ghosts: PINKY, INKY, CLYDE, BLINKY",,,,,,
blind_board_024,24,CAKE | TOPAZ | SNUG | BLINKY | RAKE | BAKE | SNIP | CLYDE | JADE | RUBY | SNOW | SNAP | INKY | OPAL | LAKE | PINKY,"Rhymes with -AKE: RAKE, LAKE, BAKE, CAKE || Gemstones: JADE, OPAL, RUBY, TOPAZ || Starts with SN: SNAP, SNUG, SNIP, SNOW || Pac-Man ghosts: PINKY, INKY, CLYDE, BLINKY",,,,,,
blind_board_025,25,GNARLY | SHRED | BENT | TWISTED | TRACE | OUNCE | BATH | EXPONENT | POWDER | REST | POWER | ROOT | LICK | THRONE | WARPED | RADICAL,"SMALLEST AMOUNT: OUNCE, TRACE, LICK, SHRED || CONTORTED: BENT, GNARLY, WARPED, TWISTED || ALGEBRA TERMS: RADICAL, POWER, ROOT, EXPONENT || WORDS BEFORE “ROOM” TO MEAN LAVATORY: POWDER, THRONE, REST, BATH",,,,,,
blind_board_026,26,SHADE | DETECTIVE | CHALLENGE | TINGE | CONTEST | DISPUTE | HUE | QUESTION | MATCH | SUSPECT | CLUE | CHORD | POSE | TONE | ALIBI | DEAL,"COMPONENTS OF A MYSTERY: ALIBI, CLUE, SUSPECT, DETECTIVE || TAKE ISSUE WITH: CHALLENGE, DISPUTE, QUESTION, CONTEST || TINT: TINGE, TONE, SHADE, HUE || STRIKE A ___: POSE, CHORD, MATCH, DEAL",,,,,,
blind_board_027,27,SEVENTH HEAVEN | ROSEBUD | PARADISE | WIKIPEDIA | KETCHUM | PARALYMPICS | POKÉMON | JAZZERCISE | SHANGRI-LA | SALAD DRESSING | PRIMATE | XANADU | SNOWGLOBE | HAIRSPRAY | PAYPAL | MAGIC 8 BALL,"UTOPIA: XANADU, SEVENTH HEAVEN, PARADISE, SHANGRI-LA || THINGS YOU SHAKE: HAIRSPRAY, SALAD DRESSING, MAGIC 8 BALL, SNOWGLOBE || PROPER NOUN PORTMANTEAUX: POKÉMON, WIKIPEDIA, PARALYMPICS, JAZZERCISE || ENDING IN SYNONYMS FOR “FRIEND”: ROSEBUD, PAYPAL, KETCHUM, PRIMATE",,,,,,
blind_board_028,28,EARTH | PINKY | CLYDE | KEEL | BLINKY | MERCURY | MARS | INKY | SNOW | REEL | SNAP | HEEL | VENUS | SNUG | SNIP | PEEL,"Rhymes with -EEL: KEEL, PEEL, HEEL, REEL || Planets: MARS, EARTH, VENUS, MERCURY || Starts with SN: SNAP, SNUG, SNIP, SNOW || Pac-Man ghosts: PINKY, INKY, CLYDE, BLINKY",,,,,,
blind_board_029,29,SNUG | PROPOSAL | POSSESSIVE | APOLOGY | GUILD | PRAYER | DUBBING | SLEEK | FOOT | QUOTATION | SLINKY | UNION | LEAGUE | CONTRACTION | ASSOCIATION | CLINGY,"CLOSE-FITTING: SNUG, SLINKY, SLEEK, CLINGY || ALLIANCE: LEAGUE, GUILD, ASSOCIATION, UNION || WHAT AN APOSTROPHE MIGHT INDICATE: QUOTATION, CONTRACTION, FOOT, POSSESSIVE || OCCASIONS WHEN ONE MIGHT KNEEL: PRAYER, DUBBING, PROPOSAL, APOLOGY",,,,,,
blind_board_030,30,TANG | ONCE | TWICE | FLUKE | REAL | GOING | POUND | WORLD | YUAN | SOL | SOLE | SOLO | DIVA | SOLD | MULLET | BUTTER,"WORDS IN AN AUCTION-ENDING PHRASE: SOLD, TWICE, GOING, ONCE || FISH: MULLET, SOLE, FLUKE, TANG || GLOBAL CURRENCIES: SOL, POUND, YUAN, REAL || WORDS BEFORE “CUP”: DIVA, WORLD, SOLO, BUTTER",,,,,,
blind_board_031,31,MARS | CASH | SNOW | SNAP | TOPAZ | OPAL | JADE | MASH | SNUG | VENUS | EARTH | MERCURY | DASH | BASH | SNIP | RUBY,"Rhymes with -ASH: BASH, CASH, DASH, MASH || Planets: MERCURY, EARTH, MARS, VENUS || Starts with SN: SNAP, SNUG, SNIP, SNOW || Gemstones: JADE, OPAL, RUBY, TOPAZ",,,,,,
blind_board_032,32,MICHELANGELO | MARS | MERCURY | SNOW | CASH | VENUS | DASH | SNUG | LEONARDO | SNAP | EARTH | BASH | RAPHAEL | MASH | DONATELLO | SNIP,"Planets: MARS, EARTH, VENUS, MERCURY || Teenage Mutant Ninja Turtles: MICHELANGELO, LEONARDO, DONATELLO, RAPHAEL || Starts with SN: SNAP, SNUG, SNIP, SNOW || Rhymes with -ASH: BASH, CASH, DASH, MASH",,,,,,
blind_board_033,33,DROOL | GINGERBREAD | FULL | GLADIATOR | HELD | TALK | SNORE | DREAM | POSSESSED | HAD | ALIEN | WICKED | WHITE | BORE | HAUNTED | VENOM,"OWNED: BORE, HELD, HAD, POSSESSED || MOVIE SERIES WITH 2024 RELEASES: GLADIATOR, ALIEN, WICKED, VENOM || THINGS YOU MIGHT DO IN YOUR SLEEP: SNORE, TALK, DREAM, DROOL || ___ HOUSE: GINGERBREAD, FULL, WHITE, HAUNTED",,,,,,
blind_board_034,34,INKY | TOPAZ | CAKE | BASH | OPAL | JADE | RUBY | CLYDE | PINKY | CASH | RAKE | LAKE | BLINKY | BAKE | MASH | DASH,"Ends with -AKE: BAKE, CAKE, RAKE, LAKE || Rhymes with -ASH: BASH, CASH, DASH, MASH || Gemstones: JADE, OPAL, RUBY, TOPAZ || Pac-Man ghosts: PINKY, INKY, CLYDE, BLINKY",,,,,,
blind_board_035,35,DASH | BASH | SNAP | JADE | OPAL | MASH | TOPAZ | CLYDE | CASH | RUBY | INKY | SNUG | BLINKY | SNOW | PINKY | SNIP,"Rhymes with -ASH: BASH, CASH, DASH, MASH || Pac-Man ghosts: PINKY, INKY, CLYDE, BLINKY || Gemstones: JADE, OPAL, RUBY, TOPAZ || Starts with SN: SNAP, SNUG, SNIP, SNOW",,,,,,
blind_board_036,36,CARPENTRY | CROQUET | CROCODILE | LAUREL | POLO PLAYER | PAPER | WHAC-A-MOLE | BROADCAST | SWOOSH | HAIR | HERALD | XYLOPHONE | DECLARE | ALLIGATOR | TRUMPET | VIDEO,"THINGS INVOLVING MALLETS: WHAC-A-MOLE, XYLOPHONE, CARPENTRY, CROQUET || ANNOUNCE: BROADCAST, TRUMPET, DECLARE, HERALD || ___ CLIP: ALLIGATOR, PAPER, HAIR, VIDEO || ICON EMBROIDERED ON A POLO SHIRT: CROCODILE, SWOOSH, POLO PLAYER, LAUREL",,,,,,
blind_board_037,37,PERFECT | POCKET | FRIEND | COUNTRYMAN | MINT | ROMAN | RESIDENT | EAR | ATTENDING | NEW | TOWN | UNUSED | FELLOW | TIMES | INTERN | ORIGINAL,"SINGULAR NOUN IN A FAMOUS “JULIUS CAESAR” LINE: COUNTRYMAN, EAR, ROMAN, FRIEND || ___ SQUARE: POCKET, TIMES, TOWN, PERFECT || IN PRISTINE CONDITION: MINT, ORIGINAL, NEW, UNUSED || MEDICAL ROLES: ATTENDING, FELLOW, INTERN, RESIDENT",,,,,,
blind_board_038,38,IMPULSE | SPINE | TABLES | TIDE | THORN | SPUR | DRIVE | ITCH | PAGE | TRACK | LABEL | ALBUM | CORNER | ARTIST | STICKER | URGE,"BARB: STICKER, SPUR, THORN, SPINE || TURN THE ___: PAGE, TABLES, TIDE, CORNER || DESIRE: URGE, ITCH, DRIVE, IMPULSE || INFO ON A RECORD: ALBUM, TRACK, ARTIST, LABEL",,,,,,
blind_board_039,39,JADE | MASH | SNIP | MICHELANGELO | CASH | SNUG | BASH | LEONARDO | DONATELLO | TOPAZ | DASH | SNAP | RAPHAEL | OPAL | RUBY | SNOW,"Teenage Mutant Ninja Turtles: MICHELANGELO, LEONARDO, DONATELLO, RAPHAEL || Rhymes with -ASH: BASH, CASH, DASH, MASH || Gemstones: JADE, OPAL, RUBY, TOPAZ || Starts with SN: SNAP, SNUG, SNIP, SNOW",,,,,,
blind_board_040,40,SNUFFY | MEADOW | COOKIE | KATIE | CECE | GRAMMY | COUNT | JUNIOR | CUZ | POP | MUMMY | EDIE | EMMY | TONY | CARMELA | OSCAR,"SOPRANOS: MEADOW, TONY, JUNIOR, CARMELA || FAMILIAL NICKNAMES: MUMMY, CUZ, GRAMMY, POP || “SESAME STREET” CHARACTERS: SNUFFY, OSCAR, COUNT, COOKIE || NAMES THAT SOUND LIKE TWO LETTERS: EDIE, EMMY, CECE, KATIE",,,,,,
